image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,wall_clock,0,21.00%
cards\Rorschach_blot_01.jpg,conch,1,8.35%
cards\Rorschach_blot_01.jpg,acorn,2,6.91%
cards\Rorschach_blot_01.jpg,nail,3,5.36%
cards\Rorschach_blot_01.jpg,jigsaw_puzzle,4,4.30%
cards\Rorschach_blot_01.jpg,pencil_sharpener,5,4.11%
cards\Rorschach_blot_01.jpg,shield,6,3.90%
cards\Rorschach_blot_01.jpg,chime,7,3.38%
cards\Rorschach_blot_01.jpg,space_shuttle,8,3.06%
cards\Rorschach_blot_01.jpg,earthstar,9,2.78%
cards\Rorschach_blot_02.jpg,lampshade,0,25.73%
cards\Rorschach_blot_02.jpg,table_lamp,1,9.27%
cards\Rorschach_blot_02.jpg,candle,2,5.21%
cards\Rorschach_blot_02.jpg,vase,3,3.39%
cards\Rorschach_blot_02.jpg,wall_clock,4,3.28%
cards\Rorschach_blot_02.jpg,mask,5,2.58%
cards\Rorschach_blot_02.jpg,book_jacket,6,2.45%
cards\Rorschach_blot_02.jpg,pickelhaube,7,2.32%
cards\Rorschach_blot_02.jpg,stupa,8,2.23%
cards\Rorschach_blot_02.jpg,chime,9,2.19%
cards\Rorschach_blot_03.jpg,chocolate_sauce,0,45.00%
cards\Rorschach_blot_03.jpg,book_jacket,1,11.03%
cards\Rorschach_blot_03.jpg,candle,2,10.27%
cards\Rorschach_blot_03.jpg,hip,3,7.82%
cards\Rorschach_blot_03.jpg,red_wine,4,2.68%
cards\Rorschach_blot_03.jpg,barn_spider,5,2.25%
cards\Rorschach_blot_03.jpg,matchstick,6,1.93%
cards\Rorschach_blot_03.jpg,ice_cream,7,1.69%
cards\Rorschach_blot_03.jpg,fire_screen,8,1.66%
cards\Rorschach_blot_03.jpg,Boston_bull,9,0.57%
cards\Rorschach_blot_04.jpg,vase,0,12.18%
cards\Rorschach_blot_04.jpg,book_jacket,1,7.91%
cards\Rorschach_blot_04.jpg,space_shuttle,2,7.35%
cards\Rorschach_blot_04.jpg,feather_boa,3,6.19%
cards\Rorschach_blot_04.jpg,volcano,4,4.27%
cards\Rorschach_blot_04.jpg,table_lamp,5,4.08%
cards\Rorschach_blot_04.jpg,candle,6,3.22%
cards\Rorschach_blot_04.jpg,wall_clock,7,2.27%
cards\Rorschach_blot_04.jpg,lampshade,8,2.22%
cards\Rorschach_blot_04.jpg,hook,9,1.85%
cards\Rorschach_blot_05.jpg,isopod,0,17.87%
cards\Rorschach_blot_05.jpg,space_shuttle,1,15.26%
cards\Rorschach_blot_05.jpg,wall_clock,2,5.67%
cards\Rorschach_blot_05.jpg,bald_eagle,3,3.84%
cards\Rorschach_blot_05.jpg,quill,4,2.63%
cards\Rorschach_blot_05.jpg,missile,5,2.47%
cards\Rorschach_blot_05.jpg,feather_boa,6,1.91%
cards\Rorschach_blot_05.jpg,vulture,7,1.90%
cards\Rorschach_blot_05.jpg,black_grouse,8,1.69%
cards\Rorschach_blot_05.jpg,candle,9,1.55%
cards\Rorschach_blot_06.jpg,missile,0,9.89%
cards\Rorschach_blot_06.jpg,nail,1,8.56%
cards\Rorschach_blot_06.jpg,wall_clock,2,7.52%
cards\Rorschach_blot_06.jpg,hook,3,7.39%
cards\Rorschach_blot_06.jpg,projectile,4,5.63%
cards\Rorschach_blot_06.jpg,warplane,5,5.61%
cards\Rorschach_blot_06.jpg,common_newt,6,4.56%
cards\Rorschach_blot_06.jpg,screw,7,3.46%
cards\Rorschach_blot_06.jpg,fountain,8,2.73%
cards\Rorschach_blot_06.jpg,shower_curtain,9,2.36%
cards\Rorschach_blot_07.jpg,missile,0,33.34%
cards\Rorschach_blot_07.jpg,projectile,1,31.74%
cards\Rorschach_blot_07.jpg,parachute,2,6.86%
cards\Rorschach_blot_07.jpg,space_shuttle,3,3.99%
cards\Rorschach_blot_07.jpg,warplane,4,2.99%
cards\Rorschach_blot_07.jpg,geyser,5,2.17%
cards\Rorschach_blot_07.jpg,fountain,6,1.75%
cards\Rorschach_blot_07.jpg,volcano,7,1.34%
cards\Rorschach_blot_07.jpg,pole,8,0.99%
cards\Rorschach_blot_07.jpg,obelisk,9,0.83%
cards\Rorschach_blot_08.jpg,poncho,0,24.10%
cards\Rorschach_blot_08.jpg,handkerchief,1,14.87%
cards\Rorschach_blot_08.jpg,wool,2,11.01%
cards\Rorschach_blot_08.jpg,mitten,3,4.85%
cards\Rorschach_blot_08.jpg,brassiere,4,3.24%
cards\Rorschach_blot_08.jpg,bonnet,5,2.71%
cards\Rorschach_blot_08.jpg,parachute,6,2.31%
cards\Rorschach_blot_08.jpg,stole,7,2.14%
cards\Rorschach_blot_08.jpg,Christmas_stocking,8,2.10%
cards\Rorschach_blot_08.jpg,candle,9,2.05%
cards\Rorschach_blot_09.jpg,missile,0,42.49%
cards\Rorschach_blot_09.jpg,parachute,1,7.16%
cards\Rorschach_blot_09.jpg,projectile,2,3.78%
cards\Rorschach_blot_09.jpg,volcano,3,3.65%
cards\Rorschach_blot_09.jpg,space_shuttle,4,3.10%
cards\Rorschach_blot_09.jpg,pencil_sharpener,5,2.50%
cards\Rorschach_blot_09.jpg,warplane,6,2.26%
cards\Rorschach_blot_09.jpg,balloon,7,1.92%
cards\Rorschach_blot_09.jpg,fountain,8,1.72%
cards\Rorschach_blot_09.jpg,lifeboat,9,1.71%
cards\Rorschach_blot_10.jpg,handkerchief,0,37.24%
cards\Rorschach_blot_10.jpg,tray,1,23.98%
cards\Rorschach_blot_10.jpg,candle,2,8.80%
cards\Rorschach_blot_10.jpg,vase,3,6.21%
cards\Rorschach_blot_10.jpg,envelope,4,3.11%
cards\Rorschach_blot_10.jpg,pillow,5,1.50%
cards\Rorschach_blot_10.jpg,rubber_eraser,6,1.23%
cards\Rorschach_blot_10.jpg,pencil_box,7,0.90%
cards\Rorschach_blot_10.jpg,sea_slug,8,0.83%
cards\Rorschach_blot_10.jpg,thimble,9,0.83%
