image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,warplane,0,18.56%
cards\Rorschach_blot_01.jpg,airship,1,18.45%
cards\Rorschach_blot_01.jpg,coral_fungus,2,6.56%
cards\Rorschach_blot_01.jpg,cuirass,3,5.40%
cards\Rorschach_blot_01.jpg,hummingbird,4,5.14%
cards\Rorschach_blot_01.jpg,fire_screen,5,4.96%
cards\Rorschach_blot_01.jpg,vase,6,4.07%
cards\Rorschach_blot_01.jpg,breastplate,7,3.52%
cards\Rorschach_blot_01.jpg,fountain,8,3.23%
cards\Rorschach_blot_01.jpg,house_finch,9,2.93%
cards\Rorschach_blot_02.jpg,candle,0,21.84%
cards\Rorschach_blot_02.jpg,hair_slide,1,10.81%
cards\Rorschach_blot_02.jpg,necklace,2,6.80%
cards\Rorschach_blot_02.jpg,volcano,3,6.57%
cards\Rorschach_blot_02.jpg,parachute,4,5.82%
cards\Rorschach_blot_02.jpg,space_shuttle,5,5.16%
cards\Rorschach_blot_02.jpg,chime,6,3.78%
cards\Rorschach_blot_02.jpg,red_wine,7,2.40%
cards\Rorschach_blot_02.jpg,syringe,8,2.03%
cards\Rorschach_blot_02.jpg,meat_loaf,9,1.93%
cards\Rorschach_blot_03.jpg,book_jacket,0,96.83%
cards\Rorschach_blot_03.jpg,tray,1,1.77%
cards\Rorschach_blot_03.jpg,vase,2,0.36%
cards\Rorschach_blot_03.jpg,envelope,3,0.28%
cards\Rorschach_blot_03.jpg,comic_book,4,0.24%
cards\Rorschach_blot_03.jpg,paintbrush,5,0.08%
cards\Rorschach_blot_03.jpg,red_wine,6,0.08%
cards\Rorschach_blot_03.jpg,jersey,7,0.05%
cards\Rorschach_blot_03.jpg,parachute,8,0.03%
cards\Rorschach_blot_03.jpg,ski,9,0.02%
cards\Rorschach_blot_04.jpg,pitcher,0,28.28%
cards\Rorschach_blot_04.jpg,vase,1,20.73%
cards\Rorschach_blot_04.jpg,airship,2,7.27%
cards\Rorschach_blot_04.jpg,volcano,3,5.97%
cards\Rorschach_blot_04.jpg,coral_fungus,4,4.85%
cards\Rorschach_blot_04.jpg,space_shuttle,5,3.59%
