image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,buckeye,0,28.95%
cards\Rorschach_blot_01.jpg,pot,1,11.20%
cards\Rorschach_blot_01.jpg,coral_fungus,2,7.28%
cards\Rorschach_blot_01.jpg,acorn,3,6.80%
cards\Rorschach_blot_01.jpg,wall_clock,4,6.61%
cards\Rorschach_blot_01.jpg,paper_towel,5,4.33%
cards\Rorschach_blot_01.jpg,conch,6,4.26%
cards\Rorschach_blot_01.jpg,vase,7,3.79%
cards\Rorschach_blot_01.jpg,space_shuttle,8,2.33%
cards\Rorschach_blot_01.jpg,missile,9,2.30%
cards\Rorschach_blot_02.jpg,velvet,0,43.84%
cards\Rorschach_blot_02.jpg,candle,1,9.11%
cards\Rorschach_blot_02.jpg,hair_slide,2,4.14%
cards\Rorschach_blot_02.jpg,brassiere,3,4.07%
cards\Rorschach_blot_02.jpg,fur_coat,4,2.89%
cards\Rorschach_blot_02.jpg,macaw,5,2.54%
cards\Rorschach_blot_02.jpg,wool,6,2.43%
cards\Rorschach_blot_02.jpg,parachute,7,2.09%
cards\Rorschach_blot_02.jpg,wall_clock,8,1.51%
cards\Rorschach_blot_02.jpg,handkerchief,9,1.43%
cards\Rorschach_blot_03.jpg,book_jacket,0,20.11%
cards\Rorschach_blot_03.jpg,African_grey,1,18.89%
cards\Rorschach_blot_03.jpg,Great_Dane,2,4.97%
cards\Rorschach_blot_03.jpg,candle,3,4.76%
cards\Rorschach_blot_03.jpg,tray,4,4.35%
cards\Rorschach_blot_03.jpg,red_wine,5,3.68%
cards\Rorschach_blot_03.jpg,handkerchief,6,2.80%
cards\Rorschach_blot_03.jpg,ruddy_turnstone,7,2.54%
cards\Rorschach_blot_03.jpg,hummingbird,8,2.53%
cards\Rorschach_blot_03.jpg,comic_book,9,2.47%
cards\Rorschach_blot_04.jpg,space_shuttle,0,32.72%
cards\Rorschach_blot_04.jpg,volcano,1,13.41%
cards\Rorschach_blot_04.jpg,coral_fungus,2,8.72%
cards\Rorschach_blot_04.jpg,rock_crab,3,7.41%
cards\Rorschach_blot_04.jpg,king_crab,4,3.98%
cards\Rorschach_blot_04.jpg,hermit_crab,5,2.96%
cards\Rorschach_blot_04.jpg,warplane,6,2.95%
cards\Rorschach_blot_04.jpg,parachute,7,2.58%
cards\Rorschach_blot_04.jpg,candle,8,2.52%
cards\Rorschach_blot_04.jpg,scorpion,9,2.47%
cards\Rorschach_blot_05.jpg,hip,0,26.32%
cards\Rorschach_blot_05.jpg,wall_clock,1,10.97%
